date,org,prev_snap_1,prev_snap_2,prev_snap_3,prev_snap_4,project,target_snap,user
2014-12-05,4,0,0,0,0,145,195,59
2014-12-05,4,178,195,0,0,145,240,59
2014-12-05,4,195,0,0,0,145,178,59
2015-02-10,4,240,223,88,0,414,195,59
2015-02-10,4,88,0,0,0,414,223,59
2015-02-10,4,0,0,0,0,414,88,59
2015-02-10,4,223,88,0,0,414,240,59
2015-02-10,4,195,240,223,88,414,209,59
2015-03-03,4,224,240,224,240,414,416,166
2015-03-03,4,240,224,240,0,414,224,166
2015-03-03,4,224,240,0,0,414,240,166
2015-03-03,4,240,0,0,0,414,224,166
2015-03-03,4,0,0,0,0,414,240,166
2015-03-03,4,240,0,0,0,414,240,166
2015-03-13,4,156,142,88,0,201,240,116
2015-03-13,4,88,0,0,0,201,142,116
2015-03-13,4,279,240,156,142,201,205,116
2015-03-13,4,3,398,205,279,201,209,116
2015-03-13,4,398,205,279,240,201,3,116
2015-03-13,4,398,205,279,240,201,322,116
2015-03-13,4,240,156,142,88,201,279,116
2015-03-13,4,205,279,240,156,201,398,116
2015-03-13,4,142,88,0,0,201,156,116
2015-03-13,4,0,0,0,0,201,88,116
2015-04-17,4,0,0,0,0,414,88,194
2015-04-17,4,0,0,0,0,414,88,194
2015-04-17,4,88,0,0,0,414,209,194
2015-04-30,4,0,0,0,0,179,195,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,0,0,0,0,179,195,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,0,0,0,0,179,195,212
2015-04-30,4,88,0,0,0,131,209,212
2015-04-30,4,0,0,0,0,131,88,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,0,0,0,0,179,195,212
2015-04-30,4,0,0,0,0,179,195,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,88,0,0,0,131,209,212
2015-04-30,4,0,0,0,0,131,88,212
2015-04-30,4,0,0,0,0,131,88,212
2015-04-30,4,88,0,0,0,131,209,212
2015-04-30,4,0,0,0,0,131,88,212
2015-04-30,4,88,0,0,0,131,209,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,0,0,0,0,179,195,212
2015-04-30,4,195,0,0,0,179,209,212
2015-04-30,4,0,0,0,0,179,195,212
2015-05-05,4,0,0,0,0,414,240,184
2015-05-05,4,0,0,0,0,203,209,186
2015-05-09,4,0,0,0,0,414,240,58
2015-05-20,4,0,0,0,0,414,195,170
2015-05-20,4,195,0,0,0,414,209,170
2015-06-02,4,0,0,0,0,227,214,6
2015-06-02,4,214,0,0,0,227,240,6
2015-06-17,4,0,0,0,0,414,414,109
2015-06-23,4,0,0,0,0,79,207,128
